x_acc,y_acc,z_acc,x_rot,y_rot,z_rot
0.057947,0.506282,0.315296,2.511144,-0.543672,1.138710
-0.302876,0.640202,0.434485,1.840593,-0.602277,0.945934
-1.057652,0.507451,0.491409,1.498209,-0.134314,0.899756
-1.132939,0.641136,0.968670,1.426105,0.019751,0.513534
-0.678602,0.369408,0.864195,1.570377,0.146556,-0.066745
-0.700471,-0.085668,0.370783,1.855870,-0.000440,-0.037513
-0.780668,0.133506,0.854337,0.862228,-0.006769,0.279399
-0.706107,0.603340,1.123066,0.458134,-0.439947,-0.144634
-0.493964,0.739893,0.755565,-0.409579,0.392697,-1.079373
0.398713,0.069438,-0.167745,-0.965003,0.269331,-1.143468
0.966525,-0.042861,-1.173481,-0.474078,0.403710,-0.458618
1.068021,0.346423,-0.594977,0.300902,-0.416326,0.389945
0.599447,0.190475,-0.094310,1.374131,-1.339213,0.628538
0.286295,0.462763,0.114242,1.764271,-0.892882,0.249534
0.198833,0.833473,-0.024318,2.300396,-0.863331,0.583098
-0.016495,1.119834,0.615157,2.395594,-0.058603,0.791238
-0.234148,0.682854,0.675973,2.886540,0.024665,0.945931
-0.706591,0.746971,0.768475,2.499827,-0.023999,0.545976
-1.191131,0.730254,1.095989,1.739430,0.455147,0.376009
-0.535402,-0.307808,0.188607,1.332993,0.297762,0.336631
-0.093146,-0.303169,0.448113,0.652257,-0.182275,0.189767
0.034565,0.147384,0.032701,0.083336,0.273656,-0.394399
0.116735,-0.061568,-0.144571,0.242541,0.513856,-0.498560
0.118628,-0.300307,0.280326,-0.272696,0.466130,0.128153
0.354301,-0.727985,0.728112,-0.103015,-0.552734,-0.019392
-0.191019,-1.194863,0.559627,0.496149,-0.207830,-0.192406
-0.118698,-0.944775,0.556032,-0.086296,-0.146705,-0.162201
-0.222437,-0.452712,0.134271,-0.449605,-0.380134,0.244456
-0.520398,-0.043969,0.557511,-0.486162,0.186294,0.085899
-0.571822,-0.042209,0.675460,-0.184514,0.478733,-0.175025
-0.427187,-0.174849,0.669290,-0.773681,-0.388361,-0.926363
-0.495091,0.233964,0.560095,-1.146434,-0.097233,-1.053607
-0.218658,0.083602,0.350657,-1.305974,0.613054,-1.055952
0.118082,-0.320080,-0.002204,-1.098424,1.033414,-1.400514
0.398508,-0.889729,0.643651,-1.101650,-0.003846,-1.054238
1.246151,0.417938,-0.245193,-0.941576,-0.467182,-0.445818
0.994664,0.736088,-0.328656,-0.334375,0.229619,0.095432
0.393484,0.029149,-0.650687,0.335345,0.712587,0.112990
0.405360,-0.265562,-0.638669,0.693007,-0.433622,0.416688
0.055811,-0.411279,0.189500,1.406289,-0.933534,0.666772
-0.142941,0.565598,0.086845,1.572573,-0.008526,0.954651
-0.825800,0.950080,-0.190513,1.965361,0.265031,1.824574
-1.067814,1.834043,0.618486,1.502539,-0.567586,1.503909
-1.006763,1.943795,1.137518,1.750398,-0.137308,1.325998
-1.072135,1.225091,0.813662,0.346261,-0.245490,0.471532
-1.198917,0.553217,0.623351,-0.332381,0.475987,0.045197
-0.783991,0.572219,-0.513482,-0.528094,0.650094,-0.103198
-0.418654,0.740399,-0.300244,-0.032681,0.162663,-0.367268
-0.296396,0.630584,0.149753,-0.060846,0.132561,0.115863
-0.510331,0.096796,-0.143958,-0.115634,0.561441,0.215082
-0.479499,0.098401,0.191350,-0.354555,0.102843,-0.339097
-0.241731,0.558249,0.216402,-0.942375,-0.310990,-0.691699
0.266356,0.390462,0.386861,-1.828773,0.222849,-0.517476
-0.186370,0.954903,0.351799,-1.805669,0.619986,-0.698856
-0.511369,1.185433,0.071413,-2.267620,0.472731,-0.628225
-0.747141,0.945055,0.059432,-2.154106,-0.303881,-0.540551
-0.936538,0.976119,0.051016,-1.602597,-0.085095,-0.475679
-0.576400,0.448881,-0.039771,-0.863536,0.020853,-0.565483
-0.534380,0.435801,-0.048229,-0.496378,-0.223069,-0.008797
-0.519330,0.641023,0.040688,-0.373494,-0.123030,-0.037316
-0.833351,0.326451,0.380748,0.182185,0.214917,-0.075060
-0.592314,0.035851,-0.127896,0.173951,0.369629,0.172933
-0.333759,0.431792,0.030051,1.045066,0.582943,0.701583
0.115698,0.685120,0.098520,1.475650,0.471911,0.727085
0.127279,-0.069973,0.206702,1.331462,-0.311292,0.124512
-0.128758,-0.507676,0.967037,1.099725,-1.266846,0.201344
-0.278085,-0.334100,1.237619,0.792287,-0.982816,-0.404880
